param	T	:=	52;	
param MaxProd := Infinity;

param:	p	q	h	:=
1	100	5000	5	
2	100	5000	5	
3	100	5000	5	
4	100	5000	5	
5	100	5000	5	
6	100	5000	5	
7	100	5000	5	
8	100	5000	5	
9	100	5000	5	
10	100	5000	5	
11	100	5000	5	
12	100	5000	5	
13	100	5000	5	
14	100	5000	5	
15	100	5000	5	
16	100	5000	5	
17	100	5000	5	
18	100	5000	5	
19	100	5000	5	
20	100	5000	5	
21	100	5000	5	
22	100	5000	5	
23	100	5000	5	
24	100	5000	5	
25	100	5000	5	
26	100	5000	5	
27	100	5000	5	
28	100	5000	5	
29	100	5000	5	
30	100	5000	5	
31	100	5000	5	
32	100	5000	5	
33	100	5000	5	
34	100	5000	5	
35	100	5000	5	
36	100	5000	5	
37	100	5000	5	
38	100	5000	5	
39	100	5000	5	
40	100	5000	5	
41	100	5000	5	
42	100	5000	5	
43	100	5000	5	
44	100	5000	5	
45	100	5000	5	
46	100	5000	5	
47	100	5000	5	
48	100	5000	5	
49	100	5000	5	
50	100	5000	5	
51	100	5000	5	
52	100	5000	5	
;				
		
param	s0 := 0;	
				
param	d :=			
1	400			
2	400			
3	800			
4	800			
5	1200			
6	1200			
7	1200			
8	1200			
9	1300			
10	1300			
11	300			
12	1500			
13	200			
14	100			
15	500			
16	500			
17	900			
18	800			
19	400			
20	1200			
21	1500			
22	1200			
23	900			
24	1100			
25	200			
26	1200			
27	600			
28	400			
29	300			
30	100			
31	1300			
32	500			
33	1600			
34	800			
35	1600			
36	900			
37	1100			
38	400			
39	500			
40	100			
41	900			
42	1000			
43	1500			
44	1300			
45	500			
46	1400			
47	200			
48	1400			
49	800			
50	1400			
51	700			
52	400			
;				
