set LOCATIONS := A B C D E F G H I J K L;
set FACILITIES := 1 2 3 4 5 6 7 8 9 10 11 12;

param Dist
:    A   B   C   D   E   F   G   H   I   J   K   L    :=
A    0   1   2   2   3   4   4   5   3   5   6   7
B    1   0   1   1   2   3   3   4   2   4   5   6
C    2   1   0   2   1   2   2   3   1   3   4   5
D    2   1   2   0   1   2   2   3   3   3   4   5
E    3   2   1   1   0   1   1   2   2   2   3   4
F    4   3   2   2   1   0   2   3   3   1   2   3
G    4   3   2   2   1   2   0   1   3   1   2   3
H    5   4   3   3   2   3   1   0   4   2   1   2
I    3   2   1   3   2   3   3   4   0   4   5   6
J    5   4   3   3   2   1   1   2   4   0   1   2
K    6   5   4   4   3   2   2   1   5   1   0   1
L    7   6   5   5   4   3   3   2   6   2   1   0
;

param Flow
:  1  2  3  4  5  6  7  8  9 10 11 12    :=
1  0  3  4  6  8  5  6  6  5  1  4  6
2  3  0  6  3  7  9  9  2  2  7  4  7
3  4  6  0  2  6  4  4  4  2  6  3  6
4  6  3  2  0  5  5  3  3  9  4  3  6
5  8  7  6  5  0  4  3  4  5  7  6  7
6  5  9  4  5  4  0  8  5  5  5  7  5
7  6  9  4  3  3  8  0  6  8  4  6  7
8  6  2  4  3  4  5  6  0  1  5  5  3
9  5  2  2  9  5  5  8  1  0  4  5  2
10 1  7  6  4  7  5  4  5  4  0  7  7
11 4  4  3  3  6  7  6  5  5  7  0  9
12 6  7  6  6  7  5  7  3  2  7  9  0
;
