param: LABEL: Xdata Ydata :=
1   0.14 0.005
2   0.25 0.010
3   0.30 0.023
4   0.33 0.048
5   0.40 0.023
6   1.00 0.060
7   1.00 0.120
8   1.20 0.075
9   1.90 0.280
10   2.40 0.550
11   2.50 0.104
12   2.60 0.900
13   3.00 0.122
14   3.50 0.785
15   3.90 3.500
16   4.00 0.101
17   5.00 0.200
18   5.50 1.040
19   5.70 0.920
20   6.30 1.700
21   6.40 0.425
22   6.60 1.000
23   8.10 1.350
24   10.80 3.500
25   11.40 1.620
26   12.10 2.500
27   12.30 0.750
28   12.30 2.000
29   12.50 1.400
30   15.50 0.480
31   17.00 4.050
32   17.50 1.410
33   21.00 3.600
34   25.00 3.000
35   25.60 3.300
36   39.20 4.288
37   44.50 3.385
38   50.40 4.235  
;
