param T := 2519;
set ASSETS := AGG	DBC	DFE	DIA	DXJ	EEM	EFA	EWG	EWH	EWI	EWT	EWU	EWW	EWY	EWZ	EZU	FEZ	FXI	GDX	GLD	IAU	IBB	ITB	IVV	IWD	IWM	IYR	KBE	KRE	LQD	OIL	SDS	SH	SLV	SPY	USO	VGK	VNQ	VTI	VWO	XHB	XLB	XLE	XLF	XLI	XLK	XLP	XLU	XLV	XLY	XME	XOP;

param Ret:
	AGG	DBC	DFE	DIA	DXJ	EEM	EFA	EWG	EWH	EWI	EWT	EWU	EWW	EWY	EWZ	EZU	FEZ	FXI	GDX	GLD	IAU	IBB	ITB	IVV	IWD	IWM	IYR	KBE	KRE	LQD	OIL	SDS	SH	SLV	SPY	USO	VGK	VNQ	VTI	VWO	XHB	XLB	XLE	XLF	XLI	XLK	XLP	XLU	XLV	XLY	XME	XOP:=
1	0.002	-0.026	-0.001	0.002	0.012	-0.014	-0.003	-0.003	-0.011	-0.002	0.003	-0.002	-0.009	-0.011	-0.013	-0.004	-0.001	-0.035	-0.018	-0.010	-0.008	0.015	-0.009	0.003	-0.002	0.003	0.000	0.000	0.003	0.008	-0.041	-0.004	-0.002	0.002	0.002	-0.042	-0.002	0.001	0.002	-0.011	-0.005	-0.005	-0.018	-0.003	-0.004	0.015	0.002	-0.001	0.011	0.000	-0.005	-0.013
2	-0.001	0.001	-0.009	-0.008	-0.021	-0.029	-0.015	-0.017	-0.008	-0.013	-0.025	-0.019	-0.023	-0.024	-0.035	-0.012	-0.017	-0.057	-0.014	-0.024	-0.026	0.000	-0.010	-0.008	-0.008	-0.021	-0.015	-0.010	-0.021	-0.001	0.007	0.015	0.006	-0.032	-0.008	0.010	-0.013	-0.019	-0.008	-0.028	-0.009	-0.007	0.007	-0.008	-0.003	-0.008	-0.007	-0.018	-0.006	-0.007	-0.009	0.009
3	0.001	0.001	0.004	0.003	0.001	0.007	0.001	-0.003	0.025	0.001	-0.003	0.004	0.007	0.002	0.014	0.002	0.001	0.029	0.002	0.005	0.005	0.001	-0.021	0.004	0.003	-0.004	0.000	0.003	0.000	0.000	-0.001	-0.005	-0.002	0.003	0.005	-0.007	-0.003	0.001	0.004	0.011	-0.014	0.000	0.000	0.005	0.004	0.003	0.002	-0.001	0.001	0.002	0.010	0.004
4	0.000	-0.009	0.000	-0.001	0.007	-0.022	0.001	0.005	-0.002	-0.001	-0.010	-0.006	-0.027	-0.011	-0.025	-0.002	-0.002	-0.044	-0.007	0.006	0.007	-0.001	0.002	-0.001	-0.003	0.009	0.012	-0.002	-0.004	0.000	-0.006	0.001	0.000	0.016	-0.001	-0.004	-0.004	0.013	0.000	-0.024	0.006	0.000	-0.009	-0.002	-0.001	0.001	0.002	0.001	-0.001	0.005	-0.011	-0.010
5	-0.001	-0.015	-0.006	0.003	-0.018	-0.002	-0.008	-0.011	-0.009	-0.011	-0.002	-0.003	0.010	-0.003	0.007	-0.008	-0.011	-0.020	-0.012	-0.004	-0.003	0.004	0.001	0.003	0.001	0.008	0.016	0.001	0.000	-0.001	-0.042	-0.004	-0.001	-0.004	0.003	-0.043	-0.005	0.013	0.002	-0.003	0.003	0.007	-0.019	0.003	0.003	0.005	0.004	0.000	0.002	0.005	0.012	-0.019
6	-0.002	-0.001	0.000	0.005	-0.002	0.013	0.006	0.009	0.002	0.006	-0.002	0.014	0.012	0.008	0.009	0.007	0.011	0.008	0.009	0.001	0.002	0.011	0.014	0.005	0.003	0.006	0.011	0.001	0.008	-0.003	-0.022	-0.013	-0.006	-0.006	0.004	-0.021	0.015	0.013	0.008	0.013	0.016	0.011	-0.006	0.006	0.008	0.010	0.008	0.001	0.011	0.011	0.009	-0.005
7	-0.001	0.023	0.011	0.005	0.012	0.020	0.011	0.011	0.010	0.011	0.022	0.009	0.005	0.022	0.019	0.010	0.007	0.023	0.026	0.025	0.023	0.015	0.006	0.008	0.008	0.010	0.003	0.001	0.001	-0.001	0.008	-0.010	-0.005	0.040	0.008	0.007	0.006	0.003	0.007	0.014	0.006	0.011	0.026	0.001	0.003	0.003	-0.002	-0.008	0.005	0.003	0.022	0.033
8	0.002	-0.023	0.003	0.000	0.001	0.004	-0.001	0.006	0.012	-0.001	-0.003	0.000	0.005	0.003	-0.012	-0.003	-0.003	0.019	-0.010	-0.003	0.000	0.000	-0.004	-0.002	-0.002	-0.007	0.011	0.000	-0.009	0.001	-0.028	0.002	0.001	-0.019	-0.002	-0.028	0.003	0.014	-0.002	0.001	-0.003	0.003	-0.010	0.003	0.005	-0.002	0.001	0.003	0.002	0.004	-0.017	-0.010
9	-0.001	0.009	0.003	0.000	-0.002	-0.004	0.001	-0.006	0.007	-0.006	0.006	0.000	0.002	-0.008	0.001	-0.003	-0.006	-0.011	0.005	0.011	0.010	0.003	0.017	0.000	0.001	-0.004	0.003	-0.001	-0.007	-0.001	0.018	0.001	0.001	0.016	0.000	0.019	-0.004	0.000	0.001	-0.003	0.009	0.003	0.011	-0.003	0.001	-0.013	0.003	0.002	0.006	0.000	0.008	0.011
10	0.001	-0.011	0.001	-0.002	-0.001	-0.010	-0.003	-0.006	-0.002	-0.002	-0.006	-0.002	-0.017	-0.006	-0.006	-0.003	-0.003	-0.014	-0.019	-0.006	-0.010	-0.009	0.000	-0.003	-0.002	-0.008	-0.003	0.003	-0.008	0.003	-0.025	0.007	0.004	-0.011	-0.003	-0.022	-0.001	-0.001	-0.005	-0.005	0.005	-0.006	-0.007	-0.004	-0.004	-0.011	-0.002	-0.001	0.003	0.006	-0.018	-0.010
